idx,q_len_words,gt,n_rollouts,n_correct,acc,max_reward,any_boxed
2348,9,27,4,4,1.0000,1.500,True
6469,11,8,4,4,1.0000,1.500,True
1646,13,110,4,4,1.0000,1.500,True
4674,13,72,4,3,0.7500,1.500,True
5645,14,16,4,4,1.0000,1.500,True
7368,14,48,4,4,1.0000,1.500,True
688,15,45,4,4,1.0000,1.500,True
1214,15,10,4,4,1.0000,1.500,True
1809,15,91,4,4,1.0000,1.500,True
2944,15,25,4,4,1.0000,1.500,True
4629,15,2,4,4,1.0000,1.500,True
5003,15,336,4,4,1.0000,1.500,True
5492,15,21,4,4,1.0000,1.500,True
5955,15,28,4,4,1.0000,1.500,True
535,16,18,4,4,1.0000,1.500,True
1804,16,48,4,4,1.0000,1.500,True
2293,16,2,4,4,1.0000,1.500,True
2566,16,72,4,4,1.0000,1.500,True
3500,16,8,4,4,1.0000,1.500,True
3952,16,10,4,4,1.0000,1.500,True
4470,16,1020,4,4,1.0000,1.500,True
5225,16,30,4,4,1.0000,1.500,True
6675,16,60,4,4,1.0000,1.500,True
6982,16,10,4,4,1.0000,1.500,True
7242,16,42,4,4,1.0000,1.500,True
807,17,7,4,4,1.0000,1.500,True
1198,17,40,4,4,1.0000,1.500,True
2020,17,240,4,4,1.0000,1.500,True
2148,17,150,4,4,1.0000,1.500,True
2160,17,130,4,4,1.0000,1.500,True
2497,17,80,4,4,1.0000,1.500,True
2657,17,16,4,4,1.0000,1.500,True
4585,17,10,4,4,1.0000,1.500,True
5172,17,20,4,4,1.0000,1.500,True
5657,17,130,4,4,1.0000,1.500,True
5844,17,-47,4,4,1.0000,1.500,True
6148,17,26,4,4,1.0000,1.500,True
7291,17,15,4,4,1.0000,1.500,True
959,18,25,4,4,1.0000,1.500,True
1794,18,30,4,4,1.0000,1.500,True
2158,18,50,4,4,1.0000,1.500,True
2550,18,10,4,4,1.0000,1.500,True
2563,18,4,4,4,1.0000,1.500,True
2615,18,1,4,4,1.0000,1.500,True
2821,18,20,4,4,1.0000,1.500,True
2960,18,3,4,4,1.0000,1.500,True
3632,18,5,4,4,1.0000,1.500,True
3821,18,32,4,4,1.0000,1.500,True
3905,18,300,4,4,1.0000,1.500,True
3928,18,9,4,4,1.0000,1.500,True
4022,18,7,4,4,1.0000,1.500,True
4126,18,6,4,4,1.0000,1.500,True
4207,18,26,4,4,1.0000,1.500,True
4335,18,1200,4,4,1.0000,1.500,True
4404,18,200,4,4,1.0000,1.500,True
4481,18,56,4,4,1.0000,1.500,True
4717,18,63,4,4,1.0000,1.500,True
5042,18,27,4,4,1.0000,1.500,True
5546,18,130,4,4,1.0000,1.500,True
5922,18,407,4,4,1.0000,1.500,True
6147,18,28,4,4,1.0000,1.500,True
6270,18,82,4,4,1.0000,1.500,True
6598,18,15,4,4,1.0000,1.500,True
7114,18,270,4,4,1.0000,1.500,True
7336,18,75,4,4,1.0000,1.500,True
7472,18,50,4,0,0.0000,0.500,True
282,19,2210,4,0,0.0000,0.500,True
407,19,21,4,4,1.0000,1.500,True
499,19,2934,4,4,1.0000,1.500,True
576,19,50,4,4,1.0000,1.500,True
605,19,60,4,4,1.0000,1.500,True
679,19,480,4,4,1.0000,1.500,True
698,19,8,4,4,1.0000,1.500,True
701,19,10,4,4,1.0000,1.500,True
874,19,300,4,4,1.0000,1.500,True
1022,19,19,4,4,1.0000,1.500,True
1070,19,42,4,4,1.0000,1.500,True
1080,19,420,4,4,1.0000,1.500,True
1378,19,70,4,4,1.0000,1.500,True
1641,19,3,4,4,1.0000,1.500,True
1797,19,110,4,4,1.0000,1.500,True
2200,19,34,4,4,1.0000,1.500,True
2768,19,45,4,4,1.0000,1.500,True
2907,19,105,4,4,1.0000,1.500,True
2923,19,130,4,4,1.0000,1.500,True
3098,19,31,4,4,1.0000,1.500,True
3200,19,36,4,3,0.7500,1.500,True
3459,19,27,4,4,1.0000,1.500,True
3683,19,35,4,4,1.0000,1.500,True
3799,19,8,4,4,1.0000,1.500,True
4601,19,80,4,4,1.0000,1.500,True
5757,19,30,4,4,1.0000,1.500,True
5858,19,1068,4,4,1.0000,1.500,True
6031,19,18,4,4,1.0000,1.500,True
6233,19,20,4,4,1.0000,1.500,True
6492,19,100,4,4,1.0000,1.500,True
6719,19,30,4,4,1.0000,1.500,True
6848,19,4,4,4,1.0000,1.500,True
7074,19,80,4,4,1.0000,1.500,True
7088,19,7,4,4,1.0000,1.500,True
7256,19,7,4,4,1.0000,1.500,True
7278,19,1512,4,4,1.0000,1.500,True
7390,19,9,4,4,1.0000,1.500,True
1,20,10,4,4,1.0000,1.500,True
4,20,624,4,4,1.0000,1.500,True
79,20,70,4,4,1.0000,1.500,True
105,20,320,4,4,1.0000,1.500,True
538,20,3450,4,4,1.0000,1.500,True
637,20,18,4,4,1.0000,1.500,True
644,20,109,4,0,0.0000,0.500,True
661,20,5,4,4,1.0000,1.500,True
666,20,125,4,4,1.0000,1.500,True
724,20,21,4,4,1.0000,1.500,True
984,20,216,4,4,1.0000,1.500,True
1026,20,12,4,4,1.0000,1.500,True
1061,20,18,4,4,1.0000,1.500,True
1077,20,25,4,4,1.0000,1.500,True
1243,20,2900,4,4,1.0000,1.500,True
1264,20,2,4,0,0.0000,0.500,True
1272,20,530,4,4,1.0000,1.500,True
1400,20,22,4,4,1.0000,1.500,True
1492,20,13,4,4,1.0000,1.500,True
1537,20,63,4,4,1.0000,1.500,True
1707,20,65,4,4,1.0000,1.500,True
2196,20,230,4,4,1.0000,1.500,True
2305,20,16,4,4,1.0000,1.500,True
2452,20,20,4,4,1.0000,1.500,True
2547,20,30,4,4,1.0000,1.500,True
2832,20,6318,4,4,1.0000,1.500,True
3069,20,30,4,4,1.0000,1.500,True
3436,20,9,4,4,1.0000,1.500,True
3701,20,40,4,4,1.0000,1.500,True
3780,20,78,4,4,1.0000,1.500,True
3864,20,12,4,4,1.0000,1.500,True
5331,20,13,4,4,1.0000,1.500,True
