step,loss,outcome_acc,invalid_ratio,invalid_num,invalid_denom,step_time_sec
0,-4.4656,0.013,0.5875,141,240,192.36
1,,,0.0,None,1,203.43
2,,,0.0,None,1,205.99
3,,,0.0,None,1,206.77
4,,,0.0,None,1,210.49
5,,,0.0,None,1,188.6
6,,,0.0,None,1,194.81
7,,,0.0,None,1,193.15
8,,,0.0,None,1,186.25
9,,,0.0,None,1,197.51
10,-0.0677,0.013,0.6041666666666666,145,240,183.35
11,,,0.0,None,1,201.71
12,,,0.0,None,1,197.92
13,,,0.0,None,1,206.07
14,,,0.0,None,1,189.85
15,,,0.0,None,1,221.63
16,,,0.0,None,1,207.88
17,,,0.0,None,1,181.7
18,,,0.0,None,1,216.04
19,,,0.0,None,1,205.35
20,-5.7667,0.013,0.5333333333333333,128,240,200.78
21,,,0.0,None,1,194.19
22,,,0.0,None,1,176.78
23,,,0.0,None,1,190.87
24,,,0.0,None,1,189.73
25,,,0.0,None,1,183.05
26,,,0.0,None,1,187.35
27,,,0.0,None,1,203.39
28,,,0.0,None,1,199.61
29,,,0.0,None,1,205.41
30,0.3365,0.017,0.55,132,240,200.14
31,,,0.0,None,1,203.95
32,,,0.0,None,1,193.81
33,,,0.0,None,1,223.71
34,-3.1875,0.008,0.5916666666666667,142,240,197.83
